footstep_id,timestamp,mass_kg,force_N,displacement_mm,contact_time_s,energy_J,power_W
1,2024-01-01 08:00:00,70,826.74,0.0165,0.3,13.64,45.47
2,2024-01-01 08:00:00.5,70,832.15,0.0166,0.3,13.77,45.90
3,2024-01-01 08:00:01,70,814.32,0.0163,0.3,13.27,44.23
4,2024-01-01 08:00:01.5,70,845.67,0.0169,0.3,14.25,47.50
5,2024-01-01 08:00:02,70,798.45,0.0160,0.3,12.77,42.57
6,2024-01-01 08:00:02.5,70,856.23,0.0171,0.3,14.62,48.73
7,2024-01-01 08:00:03,70,823.54,0.0165,0.3,13.59,45.30
8,2024-01-01 08:00:03.5,70,839.78,0.0168,0.3,14.12,47.07
9,2024-01-01 08:00:04,70,812.36,0.0163,0.3,13.24,44.13
10,2024-01-01 08:00:04.5,70,847.89,0.0170,0.3,14.41,48.03
11,2024-01-01 08:00:05,70,825.62,0.0165,0.3,13.62,45.40
12,2024-01-01 08:00:05.5,70,841.95,0.0168,0.3,14.17,47.23
13,2024-01-01 08:00:06,70,815.48,0.0163,0.3,13.30,44.33
14,2024-01-01 08:00:06.5,70,852.34,0.0171,0.3,14.55,48.50
15,2024-01-01 08:00:07,70,820.71,0.0164,0.3,13.52,45.07
16,2024-01-01 08:00:07.5,70,838.46,0.0168,0.3,14.09,46.97
17,2024-01-01 08:00:08,70,809.53,0.0162,0.3,13.18,43.93
18,2024-01-01 08:00:08.5,70,845.12,0.0169,0.3,14.22,47.40
19,2024-01-01 08:00:09,70,827.89,0.0166,0.3,13.68,45.60
20,2024-01-01 08:00:09.5,70,844.67,0.0169,0.3,14.20,47.33
